undernourish%,undernourish(in m),m/s_finsec%,s_finsec(in m),m/s_finsec(in m),pcap_fprod,pcap_fsup,Mag,CPI,DisType,normalized
3.1,1.4,32.3,4.9,14.2,67.2,34.0,136546.98955524934,90.46017931,Flood,0.05591733943221524
3.1,1.4,32.3,4.9,14.2,67.2,34.0,136546.98955524934,90.46017931,Flood,0.05591733943221524
3.1,1.4,32.3,4.9,14.2,67.2,34.0,27377.0,90.46017931,Flood,0.0111734682794736
3.4,1.5,35.8,5.7,15.9,63.6,33.0,136547.00949468123,92.6696698,Flood,0.055917347604492025
3.4,1.5,35.8,5.7,15.9,63.6,33.0,234623.0,92.6696698,Flood,0.09611428726002474
3.4,1.5,35.8,5.7,15.9,63.6,33.0,136547.00949468123,92.6696698,Flood,0.055917347604492025
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.5,1.6,35.8,5.7,16.0,43.0,32.0,136547.0226058281,94.3490925,Flood,0.055917352978161736
3.7,1.7,37.0,5.9,16.7,78.8,32.0,136547.00781066078,95.51296742,Flood,0.05591734691428775
-1.5793770068967339,0.06629770554349257,10.8,0.7,2.6,56.8,50.0,136546.87309628178,87.46993221,Flood,0.055917291700919663
-1.6639716038687196,-1.896990183706741,11.8,0.8,2.9,71.2,35.0,634200.0,88.57345288,Flood,0.25988293720159994
7.3697166056969845,8.459939349820818,13.3,1.0,3.3,30.3,37.0,105583.0,92.6696698,Flood,0.043226592051189255
2.726337771043193,2.158285055559542,12.3,0.8,3.1,62.9,27.0,136546.8936590597,94.3490925,Flood,0.05591730012867796
4.016475280983256,2.8505389612012593,11.9,0.9,3.0,67.8,17.0,136546.89686226015,95.51296742,Flood,0.05591730144152584
8.043347992724334,12.583187427125972,5.2,0.1,0.5,26.8,31.0,136546.8910537702,88.57345288,Flood,0.055917299060886924
14.0,21.8,32.2,20.7,50.4,3.1,27.0,136547.2002044625,87.46993221,Flood,0.05591742576785831
14.0,21.8,32.2,20.7,50.4,3.1,27.0,136547.2002044625,87.46993221,Flood,0.05591742576785831
13.3,21.0,31.9,19.6,50.3,3.5,19.0,45667.0,88.57345288,Flood,0.018669717081159908
12.5,20.0,31.5,18.5,50.2,2.3,31.0,136547.19107247752,90.46017931,Flood,0.05591742202506818
12.5,20.0,31.5,18.5,50.2,2.3,31.0,136547.19107247752,90.46017931,Flood,0.05591742202506818
11.5,18.5,31.5,17.2,50.8,3.2,30.0,136547.1905848762,92.6696698,Flood,0.055917421825222316
11.5,18.5,31.5,17.2,50.8,3.2,30.0,3882.0,92.6696698,Flood,0.0015439239604129206
11.0,18.0,31.9,17.1,52.0,4.3,31.0,136547.19410283116,94.3490925,Flood,0.05591742326707391
11.4,18.8,31.7,17.5,52.3,4.3,40.0,136547.1897108031,95.51296742,Flood,0.05591742146697905
8.56760968837275,6.965954012008147,29.66031752804595,4.1234968296488566,16.519945616209483,34.1,46.0,136547.00758020696,92.6696698,Flood,0.05591734681983508
10.424427396925443,17.534789975375578,17.92108042166297,4.4756289254365305,23.22832160540576,27.0,31.0,136547.02089895494,88.57345288,Flood,0.05591735227859116
7.8,12.7673253940947,17.006405497524746,3.6242552108011674,18.710805379852587,47.4,28.0,136546.98640555833,87.46993221,Flood,0.055917338141298484
7.4,0.9,67.9,1.7,8.2,14.1,15.0,136547.11144875348,95.51296742,Flood,0.05591738939088305
14.3,1.6,48.377554610234164,3.977498094824294,10.910769451314337,13.8,45.0,136547.05327974592,87.46993221,Flood,0.055917365550021754
13.1,1.4,44.565463919646625,4.122108972744841,11.513009371288078,10.5,29.0,190581.0,88.57345288,Flood,0.07806345129917902
13.1,1.4,44.07927570109981,3.978171531235109,10.875316283723429,10.5,29.0,136547.05233601958,88.57345288,Flood,0.05591736516323075
12.1,1.4,42.40246957222641,4.512359019486813,12.993136408113074,15.5,26.0,245648.0,92.6696698,Flood,0.10063293914841138
11.9,1.4,40.705783674379234,4.309565567574934,11.930695328556816,17.3,25.0,136547.04429329245,94.3490925,Flood,0.05591736186687845
11.9,1.4,40.705783674379234,4.309565567574934,11.930695328556816,17.3,25.0,136547.04429329245,94.3490925,Flood,0.05591736186687845
13.9,1.6,44.32443250128731,4.5475650022746095,11.96140447252506,17.3,26.0,136547.05544694728,95.51296742,Flood,0.05591736643826017
13.9,1.6,44.32443250128731,4.5475650022746095,11.96140447252506,17.3,26.0,136547.05544694728,95.51296742,Flood,0.05591736643826017
4.897280009728513,9.447818502361557,9.6,-2.0310243065755316,0.3,25.6,53.0,136546.88383913966,87.46993221,Flood,0.05591729610393418
-0.5561497449010733,2.1575316134189606,10.0,-1.168997489535137,0.3,36.7,61.0,27245.0,94.3490925,Flood,0.011119367413326928
-0.649164322232231,2.0724998343967584,10.0,-1.2821160290532894,0.3,36.7,61.0,136546.86594182343,94.3490925,Flood,0.05591728876862881
7.686370051529282,7.747302952717073,12.6,-1.0226001002751826,0.4,40.8,28.0,136546.9008687524,95.51296742,Flood,0.0559173030836069
21.3,0.5,53.4,0.5,1.2,26.9,11.0,136547.04538681,90.46017931,Flood,0.055917362315062134
21.5,0.5,53.1,0.5,1.2,24.8,18.0,136547.04107398482,92.6696698,Flood,0.05591736054742897
13.345803523011382,31.68785400381868,18.3,3.9,37.5,18.4,37.0,115.0,87.46993221,Flood,0.0
12.983299773992355,31.264563822864154,18.3,3.9,37.5,18.4,37.0,136547.08552860437,87.46993221,Flood,0.05591737876737913
12.983299773992355,31.264563822864154,18.3,3.9,37.5,18.4,37.0,136547.08552860437,87.46993221,Flood,0.05591737876737913
12.321967722762215,30.49517137424033,18.3,3.9,37.5,18.4,37.0,450353.0,87.46993221,Flood,0.18453231645563914
16.719318418281226,37.51147377979069,21.5,3.6,44.4,17.5,29.0,136547.13158128946,88.57345288,Flood,0.05591739764230453
16.863935275422634,37.681581013785,21.5,3.6,44.4,17.5,29.0,110515.0,88.57345288,Flood,0.0452479971408512
14.350651545901362,35.6037056071482,21.8,3.6,45.4,17.1,37.0,266010.0,90.46017931,Flood,0.10897840760658178
14.170612413831483,33.976402703418444,20.6,3.4,43.1,25.6,30.0,55139.0,92.6696698,Flood,0.022551864082230037
13.997473243003673,33.77471012586287,20.6,3.4,43.1,25.6,30.0,131278.0,92.6696698,Flood,0.05375781747269443
2.6,5.4,23.5,7.5,49.6,26.0,30.0,20310.0,94.3490925,Flood,0.00827702266539393
2.6,5.4,23.5,7.5,49.6,26.0,30.0,136547.12797373466,94.3490925,Flood,0.05591739616372999
2.6,5.4,23.5,7.5,49.6,26.0,30.0,136547.12797373466,94.3490925,Flood,0.05591739616372999
2.6,5.4,23.5,7.5,49.6,26.0,30.0,136547.12797373466,94.3490925,Flood,0.05591739616372999
2.6,5.4,23.5,7.5,49.6,26.0,30.0,136547.12797373466,94.3490925,Flood,0.05591739616372999
2.6,5.4,23.5,7.5,49.6,26.0,30.0,136547.12797373466,94.3490925,Flood,0.05591739616372999
2.6,5.4,23.5,7.5,49.6,26.0,30.0,173355.0,94.3490925,Flood,0.0710032882670386
4.1,8.6,28.9,15.4,61.3,24.4,34.0,115220.0,95.51296742,Flood,0.04717636513494273
